"Class","Class_fullname","Approach","Response_model_form","Response_model_index","Response_model_goal","Response_model_detail","Details","Stringency","Indicator_Type","Indicator","Threshold_value","Flag"
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",0.81,"Additive model, 50% probability of attaining CSCI score above 0.81.","Additive model, 50% probability of attaining CSCI score above 0.81.","Low","Eutrophication","TN",0.874,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","TN",0.862,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","TN",1.492,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","TN",0.054,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.79,"Additive model, 50% probability of attaining ASCI_H score above 0.79.","Additive model, 50% probability of attaining ASCI_H score above 0.79.","Intermediate","Eutrophication","TN",0.856,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.64,"Additive model, 50% probability of attaining ASCI_H score above 0.64.","Additive model, 50% probability of attaining ASCI_H score above 0.64.","Low","Eutrophication","TN",1.991,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.99,"Additive model, 50% probability of attaining CSCI score above 0.99.","Additive model, 50% probability of attaining CSCI score above 0.99.","High","Eutrophication","TN",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.78,"Additive model, 50% probability of attaining CSCI score above 0.78.","Additive model, 50% probability of attaining CSCI score above 0.78.","Intermediate","Eutrophication","TN",1.099,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.66,"Additive model, 50% probability of attaining CSCI score above 0.66.","Additive model, 50% probability of attaining CSCI score above 0.66.","Low","Eutrophication","TN",2.222,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","High","Eutrophication","TN",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Intermediate","Eutrophication","TN",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Low","Eutrophication","TN",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","High","Eutrophication","TN",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Intermediate","Eutrophication","TN",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Low","Eutrophication","TN",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","CSCI",0.53,"Additive model, 50% probability of attaining CSCI score above 0.53.","Additive model, 50% probability of attaining CSCI score above 0.53.","High","Eutrophication","TN",,"No threshold identified"
"CC","Constructed channel","Response","SCAM","CSCI",0.45,"Additive model, 50% probability of attaining CSCI score above 0.45.","Additive model, 50% probability of attaining CSCI score above 0.45.","Intermediate","Eutrophication","TN",,"No threshold identified"
"CC","Constructed channel","Response","SCAM","CSCI",0.37,"Additive model, 50% probability of attaining CSCI score above 0.37.","Additive model, 50% probability of attaining CSCI score above 0.37.","Low","Eutrophication","TN",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.94,"Additive model, 50% probability of attaining ASCI_D score above 0.94.","Additive model, 50% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","TP",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.86,"Additive model, 50% probability of attaining ASCI_D score above 0.86.","Additive model, 50% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","TP",0.044,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.75,"Additive model, 50% probability of attaining ASCI_D score above 0.75.","Additive model, 50% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","TP",0.122,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","TP",0.009,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TP",0.056,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.75,"Additive model, 50% probability of attaining ASCI_H score above 0.75.","Additive model, 50% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","TP",0.135,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.92,"Additive model, 50% probability of attaining CSCI score above 0.92.","Additive model, 50% probability of attaining CSCI score above 0.92.","High","Eutrophication","TP",0.026,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.79,"Additive model, 50% probability of attaining CSCI score above 0.79.","Additive model, 50% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","TP",0.102,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.63,"Additive model, 50% probability of attaining CSCI score above 0.63.","Additive model, 50% probability of attaining CSCI score above 0.63.","Low","Eutrophication","TP",0.249,""
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.99,"Additive model, 50% probability of attaining ASCI_D score above 0.99.","Additive model, 50% probability of attaining ASCI_D score above 0.99.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","Intermediate","Eutrophication","TP",0.015,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.79,"Additive model, 50% probability of attaining ASCI_D score above 0.79.","Additive model, 50% probability of attaining ASCI_D score above 0.79.","Low","Eutrophication","TP",0.092,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.9,"Additive model, 50% probability of attaining ASCI_H score above 0.9.","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","TP",0.032,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.81,"Additive model, 50% probability of attaining ASCI_H score above 0.81.","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","TP",0.09,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","TP",0.14,""
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.61,"Additive model, 50% probability of attaining CSCI score above 0.61.","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","TP",0.276,""
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.44,"Additive model, 50% probability of attaining CSCI score above 0.44.","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","TP",,"No threshold identified"
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","TP",0.015,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.8,"Additive model, 50% probability of attaining ASCI_D score above 0.8.","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","TP",0.084,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.66,"Additive model, 50% probability of attaining ASCI_D score above 0.66.","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","TP",0.21,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.91,"Additive model, 50% probability of attaining ASCI_H score above 0.91.","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","TP",0.026,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","TP",0.096,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.65,"Additive model, 50% probability of attaining ASCI_H score above 0.65.","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","TP",0.24,""
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.89,"Additive model, 50% probability of attaining CSCI score above 0.89.","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","TP",0.041,""
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.82,"Additive model, 50% probability of attaining CSCI score above 0.82.","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","TP",0.083,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.71,"Additive model, 50% probability of attaining CSCI score above 0.71.","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","TP",0.165,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.13,"Additive model, 50% probability of attaining ASCI_D score above 1.13.","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.02,"Additive model, 50% probability of attaining ASCI_D score above 1.02.","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",0.92,"Additive model, 50% probability of attaining ASCI_D score above 0.92.","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","TP",0.009,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",1.05,"Additive model, 50% probability of attaining ASCI_H score above 1.05.","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","TP",0.009,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","TP",0.096,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.85,"Additive model, 50% probability of attaining CSCI score above 0.85.","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","TP",0.065,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","TP",0.203,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.52,"Additive model, 50% probability of attaining CSCI score above 0.52.","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","TP",,"No threshold identified"
"HB","Hard bottom","Response","SCAM","ASCI_D",1.05,"Additive model, 50% probability of attaining ASCI_D score above 1.05.","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.88,"Additive model, 50% probability of attaining ASCI_D score above 0.88.","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","TP",0.032,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.74,"Additive model, 50% probability of attaining ASCI_D score above 0.74.","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","TP",0.131,""
"HB","Hard bottom","Response","SCAM","ASCI_H",1.02,"Additive model, 50% probability of attaining ASCI_H score above 1.02.","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.87,"Additive model, 50% probability of attaining ASCI_H score above 0.87.","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","TP",0.05,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.74,"Additive model, 50% probability of attaining ASCI_H score above 0.74.","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","TP",0.144,""
"HB","Hard bottom","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","TP",0.14,""
"HB","Hard bottom","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","TP",0.203,""
"HB","Hard bottom","Response","SCAM","CSCI",0.55,"Additive model, 50% probability of attaining CSCI score above 0.55.","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","TP",0.408,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.93,"Additive model, 50% probability of attaining ASCI_D score above 0.93.","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","TP",0.003,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","TP",0.107,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.64,"Additive model, 50% probability of attaining ASCI_D score above 0.64.","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","TP",0.236,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.88,"Additive model, 50% probability of attaining ASCI_H score above 0.88.","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","TP",0.044,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.76,"Additive model, 50% probability of attaining ASCI_H score above 0.76.","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","TP",0.128,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.6,"Additive model, 50% probability of attaining ASCI_H score above 0.6.","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","TP",0.323,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.96,"Additive model, 50% probability of attaining CSCI score above 0.96.","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","TP",0.005,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.75,"Additive model, 50% probability of attaining CSCI score above 0.75.","Additive model, 50% probability of attaining CSCI score above 0.75.","Intermediate","Eutrophication","TP",0.132,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.64,"Additive model, 50% probability of attaining CSCI score above 0.64.","Additive model, 50% probability of attaining CSCI score above 0.64.","Low","Eutrophication","TP",0.236,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.85,"Additive model, 50% probability of attaining ASCI_D score above 0.85.","Additive model, 50% probability of attaining ASCI_D score above 0.85.","Intermediate","Eutrophication","TP",0.051,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","TP",0.188,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","TP",0.056,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.67,"Additive model, 50% probability of attaining ASCI_H score above 0.67.","Additive model, 50% probability of attaining ASCI_H score above 0.67.","Low","Eutrophication","TP",0.215,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1.1,"Additive model, 50% probability of attaining CSCI score above 1.1.","Additive model, 50% probability of attaining CSCI score above 1.1.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1,"Additive model, 50% probability of attaining CSCI score above 1.","Additive model, 50% probability of attaining CSCI score above 1.","Intermediate","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",0.81,"Additive model, 50% probability of attaining CSCI score above 0.81.","Additive model, 50% probability of attaining CSCI score above 0.81.","Low","Eutrophication","TP",0.089,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","TP",0.107,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","TP",0.188,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","TP",0.009,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.79,"Additive model, 50% probability of attaining ASCI_H score above 0.79.","Additive model, 50% probability of attaining ASCI_H score above 0.79.","Intermediate","Eutrophication","TP",0.104,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.64,"Additive model, 50% probability of attaining ASCI_H score above 0.64.","Additive model, 50% probability of attaining ASCI_H score above 0.64.","Low","Eutrophication","TP",0.254,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.99,"Additive model, 50% probability of attaining CSCI score above 0.99.","Additive model, 50% probability of attaining CSCI score above 0.99.","High","Eutrophication","TP",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.78,"Additive model, 50% probability of attaining CSCI score above 0.78.","Additive model, 50% probability of attaining CSCI score above 0.78.","Intermediate","Eutrophication","TP",0.11,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.66,"Additive model, 50% probability of attaining CSCI score above 0.66.","Additive model, 50% probability of attaining CSCI score above 0.66.","Low","Eutrophication","TP",0.213,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","High","Eutrophication","TP",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Intermediate","Eutrophication","TP",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Low","Eutrophication","TP",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","High","Eutrophication","TP",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Intermediate","Eutrophication","TP",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Low","Eutrophication","TP",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","CSCI",0.53,"Additive model, 50% probability of attaining CSCI score above 0.53.","Additive model, 50% probability of attaining CSCI score above 0.53.","High","Eutrophication","TP",0.557,""
"CC","Constructed channel","Response","SCAM","CSCI",0.45,"Additive model, 50% probability of attaining CSCI score above 0.45.","Additive model, 50% probability of attaining CSCI score above 0.45.","Intermediate","Eutrophication","TP",,"No threshold identified"
"CC","Constructed channel","Response","SCAM","CSCI",0.37,"Additive model, 50% probability of attaining CSCI score above 0.37.","Additive model, 50% probability of attaining CSCI score above 0.37.","Low","Eutrophication","TP",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.94,"Additive model, 50% probability of attaining ASCI_D score above 0.94.","Additive model, 50% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","Chl-a",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.86,"Additive model, 50% probability of attaining ASCI_D score above 0.86.","Additive model, 50% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","Chl-a",19.5,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.75,"Additive model, 50% probability of attaining ASCI_D score above 0.75.","Additive model, 50% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","Chl-a",64.9,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","Chl-a",2.4,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","Chl-a",24.3,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.75,"Additive model, 50% probability of attaining ASCI_H score above 0.75.","Additive model, 50% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","Chl-a",68.2,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.92,"Additive model, 50% probability of attaining CSCI score above 0.92.","Additive model, 50% probability of attaining CSCI score above 0.92.","High","Eutrophication","Chl-a",10.2,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.79,"Additive model, 50% probability of attaining CSCI score above 0.79.","Additive model, 50% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","Chl-a",51.1,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.63,"Additive model, 50% probability of attaining CSCI score above 0.63.","Additive model, 50% probability of attaining CSCI score above 0.63.","Low","Eutrophication","Chl-a",160.1,""
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.99,"Additive model, 50% probability of attaining ASCI_D score above 0.99.","Additive model, 50% probability of attaining ASCI_D score above 0.99.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","Intermediate","Eutrophication","Chl-a",4.2,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.79,"Additive model, 50% probability of attaining ASCI_D score above 0.79.","Additive model, 50% probability of attaining ASCI_D score above 0.79.","Low","Eutrophication","Chl-a",45.9,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","Chl-a",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.9,"Additive model, 50% probability of attaining ASCI_H score above 0.9.","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","Chl-a",12.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.81,"Additive model, 50% probability of attaining ASCI_H score above 0.81.","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","Chl-a",41.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","Chl-a",72.7,""
