masterid,sampledate,Alkalinity_as_CaCO3,Oxygen_Dissolved,Salinity,SpecificConductivity,Temperature,Turbidity,pH,TN,TP,AFDM_g_m2,Chl-a_mg_m2,PCT_FAST,PCT_FN,PCT_HP,PCT_MAP,PCT_SAFN,XCMG,XFC_NAT_SWAMP,XSLOPE
310WRP,2011-08-18T07:00:00Z,NA,5.91,0.99,1857,15.31,1.4,7.59,51.7,0.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2011-09-29T07:00:00Z,NA,7.1,0.98,1847,17.32,0.1,7.73,57,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2011-10-27T07:00:00Z,NA,5.89,0.96,1793,12.35,0.1,7.7,25.4,0.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2011-11-16T08:00:00Z,NA,5.62,0.94,1771,11.5,0.9,7.56,45.5,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2011-12-14T08:00:00Z,NA,6.78,NA,1869,8.5,1.3,7.4,24,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2011-12-15T08:00:00Z,NA,8,1,1884,7.83,0.7,7.43,15.8,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2011-12-28T08:00:00Z,NA,7.82,0.9,1794,6.4,1.44,7.82,23,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-01-11T08:00:00Z,NA,7.66,0.9,1760,6.8,1.16,7.91,22,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-01-25T08:00:00Z,NA,5.31,0.84,1786,8.46,4.16,7.49,11,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-02-06T08:00:00Z,NA,7.64,0.7,1552,9.1,3.13,7.7,22,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-02-08T08:00:00Z,NA,6.27,0.79,1559,9.49,3.11,7.37,20.24,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-02-22T08:00:00Z,NA,7.08,1,1861,10.4,1.99,7.41,23,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-03-06T08:00:00Z,NA,7.08,0.9,1789,10.7,1,7.76,25,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-03-21T07:00:00Z,NA,5.86,0.9,1810,10.4,2.14,7.64,15,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-03-27T07:00:00Z,NA,5.7,0.81,1602,11.31,5.85,7.38,15.78,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-04-04T07:00:00Z,NA,5.37,NA,1857,12.5,1.55,7.62,22,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-04-11T07:00:00Z,NA,6.09,1,1858,12.1,3.77,7.63,25,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-04-23T07:00:00Z,NA,4.95,0.7,1476,14.8,2.04,7.5,20,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-04-25T07:00:00Z,NA,4.93,0.62,1237,15.21,14.1,7.5,21.23,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-05-16T07:00:00Z,NA,4.88,0.9,1822,14.6,1.53,7.54,31,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-05-30T07:00:00Z,NA,5.91,1,1760,13,4.41,7.65,43,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-06-11T07:00:00Z,NA,5,0.9,1845,13.2,0.65,7.65,44,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-06-18T07:00:00Z,NA,4.37,NA,1856,15.1,0.97,7.76,52,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-06-27T07:00:00Z,NA,4.04,0.81,1596,13.58,6.23,7.74,53,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-07-11T07:00:00Z,NA,4.32,0.9,1792,14.4,0.85,7.66,55,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-07-18T07:00:00Z,NA,4.04,0.9,1815,15.8,0.96,7.63,56,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-07-26T07:00:00Z,NA,3.71,0.87,1718,14.75,1.22,7.75,54.45,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-08-20T07:00:00Z,NA,5.87,0.86,1695,14.82,2.7,7.72,52.327,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-09-18T07:00:00Z,NA,4.51,0.85,1680,14,1.89,7.72,43.638,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-10-30T07:00:00Z,NA,4.02,0.75,1480,13.11,1.05,7.6,41.21,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-11-28T08:00:00Z,NA,5.8,0.84,1648,11.7,1.9,7.5,40.32,0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2012-12-04T08:00:00Z,NA,5.25,0.89,1737,13.59,19.4,7.47,39.68,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-01-03T08:00:00Z,NA,5.66,0.9,1709,7.8,2.8,7.41,51,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-01-10T08:00:00Z,NA,5.85,1,1916,9.9,0.77,7.8,47,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-01-29T08:00:00Z,NA,9.07,0.9,1748,9.1,1.54,7.88,32,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-01-30T08:00:00Z,NA,7.62,0.9,1764,8.34,1.46,7.74,34.9,0.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-02-05T08:00:00Z,NA,7.16,1.7,1863,10.8,0.81,7.83,29,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-02-12T08:00:00Z,NA,9.4,1,1872,8.5,4.79,8.29,23,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-02-19T08:00:00Z,NA,7.84,1,1908,10.7,1.29,7.87,24,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-02-27T08:00:00Z,NA,8.49,0.93,1824,8.65,1.97,7.87,23.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-03-05T08:00:00Z,NA,8.34,NA,2013,12.6,1.57,7.8,22,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-03-12T07:00:00Z,NA,8.57,1,2005,11.9,1.17,7.89,21,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-03-19T07:00:00Z,NA,7.16,1,1994,12.7,1.03,7.88,26,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-03-26T07:00:00Z,NA,4.62,0.66,1313,11.71,1.29,7.69,33,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-04-02T07:00:00Z,NA,5.79,0.6,1951,14.3,0.99,7.73,36,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-04-08T07:00:00Z,NA,4.88,1,1940,13.4,0.95,7.73,39,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-04-15T07:00:00Z,NA,4.52,0.9,1849,11.8,0.76,7.76,37,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-04-24T07:00:00Z,NA,5.99,0.84,1628,13.06,2.38,7.62,37.9,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-05-06T07:00:00Z,NA,3.49,0.9,1822,14.1,0.85,7.75,39,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-05-20T07:00:00Z,NA,4.7,0.9,1798,12.8,0.67,7.96,32,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-05-28T07:00:00Z,NA,5.83,0.8,1624,14.3,1.83,7.74,34,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-05-30T07:00:00Z,NA,5.5,0.82,1619,12.6,1.59,7.67,33.4,0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-06-04T07:00:00Z,NA,3.99,0.7,1295,14.2,0.61,7.82,36,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-06-10T07:00:00Z,NA,3.91,0.8,1550,14.9,0.56,7.81,36,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-06-18T07:00:00Z,NA,5.8,0.9,1831,14.5,0.6,7.87,36,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-06-26T07:00:00Z,NA,4.17,0.87,1711,15.31,0.6,7.78,41.9,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-07-02T07:00:00Z,NA,5.72,0.9,1831,16.9,0.52,8.06,40,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-07-15T07:00:00Z,NA,5.1,0.9,1836,14.6,0.74,7.93,40,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-07-30T07:00:00Z,NA,7.01,0.17,337,15.25,0.91,7.63,48,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-08-05T07:00:00Z,NA,2.59,0.9,1814,14.3,1.62,7.93,45,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-08-12T07:00:00Z,NA,3.26,0.9,1468,14.8,1.21,8,45,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-08-19T07:00:00Z,NA,3.56,0.9,1693,14.6,2.27,7.78,49,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-08-27T07:00:00Z,NA,3.31,0.85,1678,14.78,2.74,7.3,48.9,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-09-09T07:00:00Z,NA,3.36,1,1871,14.7,0.68,7.89,52,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-09-16T07:00:00Z,NA,2.78,1,1886,14.3,0.51,7.75,51,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-09-17T07:00:00Z,NA,2.38,0.73,1445,14.35,0.95,7.69,12.888,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-09-23T07:00:00Z,NA,2.54,0.9,1767,14.1,0.67,7.97,48,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-10-23T07:00:00Z,NA,1.75,0.94,1834,12.1,5.51,7.82,41.7,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-11-04T08:00:00Z,NA,2.08,0.9,1851,9.9,0.8,7.87,29,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-11-12T08:00:00Z,NA,2.94,0.9,1814,11.6,1.04,7.89,28,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-11-18T08:00:00Z,NA,3,0.93,1829,9.06,9.69,7.72,35.9,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-11-25T08:00:00Z,NA,2.55,1,1908,9.2,0.59,7.79,29,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-12-02T08:00:00Z,NA,1.36,0.6,1153,8.9,0.23,7.74,28,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-12-18T08:00:00Z,NA,4.01,0.95,1861,8.16,0.93,7.71,21,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-12-23T08:00:00Z,NA,1.54,0.9,1716,5.8,0.37,7.74,27,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2013-12-30T08:00:00Z,NA,1.33,0.9,1848,5.6,0.65,7.7,27,0.08385000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-01-06T08:00:00Z,NA,2.01,0.8,1532,6.4,1.19,7.84,23,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-01-13T08:00:00Z,NA,1.48,0.9,1698,7.6,0.68,8.3,21,0.0655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-01-21T08:00:00Z,NA,2.96,0.6,1288,7.8,0.72,7.77,18,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-01-29T08:00:00Z,NA,3.61,0.93,1819,8.88,1.27,7.77,19.788,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-02-03T08:00:00Z,NA,3.21,0.7,1467,8.4,1.52,7.86,20,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-02-10T08:00:00Z,NA,3.24,0.7,1147,12.3,0.74,7.83,27,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-02-18T08:00:00Z,NA,3.22,0.8,1492,10.7,9.93,7.77,11,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-02-27T08:00:00Z,NA,3.8,0.83,1638,11.9,30.2,7.72,16.627,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-03-10T07:00:00Z,NA,3.99,0.8,1560,11.9,3.59,7.72,59,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-03-17T07:00:00Z,NA,5.35,0.9,2037,12.5,1.54,7.82,61,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-03-18T07:00:00Z,NA,4.85,1.05,2048,11.84,2.26,7.67,59.7,0.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-03-24T07:00:00Z,NA,4.68,0.8,1553,11.7,1.69,7.72,58,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-04-07T07:00:00Z,NA,5.08,1,1953,11.3,1.2,7.93,39,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-04-21T07:00:00Z,NA,3.14,1.02,1908,12.93,1.8,7.75,46,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-04-28T07:00:00Z,NA,3.54,0.9,1806,11.4,1.71,7.71,37,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-05-05T07:00:00Z,NA,2.49,0.8,1618,12.8,1.51,7.75,38,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-05-15T07:00:00Z,NA,3.92,0.9,1783,18.1,2.51,7.9,30,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-05-20T07:00:00Z,NA,4.51,1.02,1990,13.25,4.52,7.8,20.9,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-12-15T08:00:00Z,NA,1.04,1.4,2640,11.3,21.4,7.06,42,0.916215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-12-22T08:00:00Z,NA,4.03,1.4,2717,13.7,NA,7.52,140,0.23873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2014-12-29T08:00:00Z,NA,3.18,NA,1403,7.2,0.5,7.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2015-01-05T08:00:00Z,NA,4.48,1.3,2521,5.5,0.35,7.58,100,0.1483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2015-01-13T08:00:00Z,NA,3.5,1.4,2688,10.1,1.56,7.44,81.45525,0.13585999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2015-01-26T08:00:00Z,NA,4.68,1.46,2805,9,0.71,7.46,51.3,0.1792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2015-01-27T08:00:00Z,NA,4.75,1.3,2475,13.1,2.19,7.5,47,0.1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2015-02-10T08:00:00Z,NA,2.71,1.4,2618,13.2,0.95,7.39,24,0.0725445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2015-02-23T08:00:00Z,NA,4.28,1.35,2600,11.08,7.93,7.51,10.81,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2015-03-10T07:00:00Z,NA,NA,1.4,2615,12.9,6.87,7.46,1.4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2017-01-09T08:00:00Z,NA,6.26,0.14,282,12.83,936,8.23,4.76,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2017-02-22T08:00:00Z,NA,5.9,0.14,283,14.54,176,7.39,3.21,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2017-03-27T07:00:00Z,NA,5.22,0.58,1150,15.32,15.3,7.52,7.02,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2017-04-24T07:00:00Z,NA,4.45,0.78,1548,13.7,4.7,7.51,18.21,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2017-05-24T07:00:00Z,NA,5.98,0.96,1875,14.67,0.67,7.52,44.96,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2017-06-20T07:00:00Z,NA,6.1,1.21,2335,15.76,1.26,7.74,70.1,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2017-07-19T07:00:00Z,NA,3.77,1.12,2172,15.24,22.2,7.65,5.36,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2017-08-28T07:00:00Z,NA,0.75,1.07,2070,16.41,3.69,7.29,0.721,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2018-01-10T08:00:00Z,NA,1.82,1.09,2111,12.42,68.7,7.75,49,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2018-02-19T08:00:00Z,NA,4.51,1.46,2804,7.3,13.4,7.61,0.4637,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2018-03-29T07:00:00Z,NA,5.38,0.41,837,11.85,37.1,7.43,10.83,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2018-04-16T07:00:00Z,NA,5.72,0.9,1759,13.46,2.01,7.59,27.118,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2018-05-22T07:00:00Z,NA,3.69,1.13,2197,13.35,2.54,7.57,46.7,0.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2018-06-20T07:00:00Z,NA,3.57,1.32,2535,13.54,6.54,7.49,1.863,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2018-12-18T08:00:00Z,NA,1.11,1.2,2331,8.94,3.89,7.57,27.1,0.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2019-01-15T08:00:00Z,NA,3.3,1.24,2388,11.4,2.83,7.49,35.4,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2019-02-26T08:00:00Z,NA,6.52,0.51,1019,8.14,53.9,7.68,10.46,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2019-03-26T07:00:00Z,NA,4.93,0.47,951,11.92,6.45,7.49,8.23,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2019-04-30T07:00:00Z,NA,4.93,0.75,1484,13.49,4.11,7.29,15.8,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2019-05-21T07:00:00Z,NA,6.49,0.86,1694,13.78,8.94,6.86,14.564499999999999,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2019-06-25T07:00:00Z,NA,4.24,0.94,1845,15.73,4.19,6.91,36.087,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2019-07-23T07:00:00Z,NA,4.1,1.01,1971,16.33,5.16,7.31,51.746,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2019-08-27T07:00:00Z,NA,3.16,1.05,2041,16.6,0.99,7.54,51.163,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310WRP,2019-09-24T07:00:00Z,NA,2.83,1.02,1987,14.6,4.39,7.6,55.257,0.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311SLN,2000-01-11T08:00:00Z,NA,1.06,NA,NA,8.01,NA,NA,4.821,1.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311SLN,2000-02-01T08:00:00Z,NA,4.21,67,50000,9.05,NA,8.3,4.1279,0.7656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311SLN,2000-02-15T08:00:00Z,NA,0.48,NA,50000,9.74,6.9,8.5,4.033,0.4455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311SLN,2000-02-29T08:00:00Z,NA,9.63,NA,NA,7.8,NA,NA,3,0.1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311SLN,2000-04-13T07:00:00Z,NA,5.57,67.95,NA,18.62,NA,NA,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311SLN,2000-05-01T07:00:00Z,NA,4.34,52.75,50000,17.08,NA,8.37,0.6,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311SLN,2013-01-07T08:00:00Z,NA,5.2,70.74,110000,14.15,2.8,8.62,9.2,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311SLN,2019-03-14T07:00:00Z,NA,11.9,15.48,25443,4.5,7.9,9.03,1.4,0.16049999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-02-01T08:00:00Z,NA,7.68,0.5,965,19.64,NA,7.86,0.22893024,0.0561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-02-15T08:00:00Z,NA,12.34,NA,823,18.85,NA,8.46,0.07148537,0.0495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-02-29T08:00:00Z,NA,11.09,NA,NA,14,NA,NA,1.56267707,0.0429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-04-13T07:00:00Z,NA,10.98,0.46,889.2,19.06,2.2,8.13,0.2,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-05-01T07:00:00Z,NA,11.34,0.47,905.9,23.65,NA,8.24,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-06-06T07:00:00Z,NA,10.37,0.5,901.3,25.61,NA,8.46,0.7,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-06-29T07:00:00Z,NA,10.25,0.47,910.9,25.09,NA,8.17,0.1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-08-01T07:00:00Z,NA,11.67,0.47,903,26.24,NA,8,0.57260892,0.0462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-08-02T07:00:00Z,NA,7.75,0.47,903.4,17.16,6.8,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-09-07T07:00:00Z,NA,9.39,0.47,NA,16.69,NA,NA,0.537919,0.0627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-09-08T07:00:00Z,NA,8.25,0.47,897.5,13.79,5.2,7.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-10-05T07:00:00Z,NA,9.18,8.9,905.2,24.37,8.9,8.19,0.51910107,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-11-06T08:00:00Z,NA,8.95,0.5,962,20.08,NA,8.08,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2000-12-04T08:00:00Z,NA,9.52,0.47,903.6,15.57,2,7.67,0.2,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2001-01-03T08:00:00Z,NA,10.17,0.48,912,18.04,3.7,7.9,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2001-01-31T08:00:00Z,NA,11.02,0.49,930,17.67,1.1,7.93,0.5,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2001-03-01T08:00:00Z,NA,9.96,0.45,861.3,17.21,16.7,7.67,0.4,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2001-04-17T07:00:00Z,NA,9.6,0.47,910.8,20.4,3.4,7.74,0.8,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-01-29T08:00:00Z,NA,10.46,0.42,811.9,14.82,0.1,7.66,0.39,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-02-26T08:00:00Z,NA,11.05,0.4,764.6,16.16,0.1,7.72,0.51,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-03-27T07:00:00Z,NA,8.57,0.44,839.4,15.87,0.1,7.58,0.25,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-04-03T07:00:00Z,NA,7.22,0.43,829.1,18.52,15,7.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-04-24T07:00:00Z,NA,7.84,0.25,539.4,19,0.1,7.56,0.197,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-05-29T07:00:00Z,NA,8.29,0.43,822.2,16.31,0.1,7.53,0.18,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-06-25T07:00:00Z,NA,7.56,0.39,747.5,18.12,0.1,7.53,0.29,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-07-17T07:00:00Z,NA,6.93,0.39,749.8,18.87,0.1,7.51,0.291,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-08-29T07:00:00Z,NA,6.75,0.39,754.7,18.77,1.2,7.56,0.071,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-09-25T07:00:00Z,NA,6.73,0.42,802.3,17.07,0.1,7.49,0.043,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-10-31T07:00:00Z,NA,6.42,0.4,764.3,15.59,0.1,7.43,0.36,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2007-12-04T08:00:00Z,NA,7.71,0.36,694.3,13.72,0.1,7.33,0.32,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312ALA,2008-01-14T08:00:00Z,NA,7.84,0.43,829.7,18.15,0.26,7.67,0.19,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
